sub,trial,decision,reward,effort,agent,success,grupo,zeros_SELF,zeros_OTHER
155,1,1,1,1,0,0,0,0,4.17
155,2,1,2,1,0,0,0,0,4.17
155,3,1,3,1,0,0,0,0,4.17
155,4,1,1,2,0,0,0,0,4.17
155,5,1,2,2,0,0,0,0,4.17
155,6,1,3,2,0,0,0,0,4.17
155,7,1,1,3,0,0,0,0,4.17
155,8,1,2,3,0,0,0,0,4.17
155,9,1,3,3,0,0,0,0,4.17
155,10,1,1,4,0,0,0,0,4.17
155,11,1,2,4,0,0,0,0,4.17
155,12,1,3,4,0,0,0,0,4.17
155,13,1,1,1,0,0,0,0,4.17
155,14,1,2,1,0,0,0,0,4.17
155,15,1,3,1,0,0,0,0,4.17
155,16,1,1,2,0,0,0,0,4.17
155,17,1,2,2,0,0,0,0,4.17
155,18,1,3,2,0,0,0,0,4.17
155,19,1,1,3,0,0,0,0,4.17
155,20,1,2,3,0,0,0,0,4.17
155,21,1,3,3,0,0,0,0,4.17
155,22,1,1,4,0,0,0,0,4.17
155,23,1,2,4,0,0,0,0,4.17
155,24,1,3,4,0,0,0,0,4.17
155,25,1,1,1,1,0,0,0,4.17
155,26,1,2,1,1,0,0,0,4.17
155,27,1,3,1,1,0,0,0,4.17
155,28,1,1,2,1,0,0,0,4.17
155,29,1,2,2,1,0,0,0,4.17
155,30,1,3,2,1,0,0,0,4.17
155,31,1,1,3,1,0,0,0,4.17
155,32,1,2,3,1,0,0,0,4.17
155,33,0,3,3,1,0,0,0,4.17
155,34,1,1,4,1,0,0,0,4.17
155,35,0,2,4,1,0,0,0,4.17
155,36,1,3,4,1,0,0,0,4.17
155,37,1,1,1,1,0,0,0,4.17
155,38,1,2,1,1,0,0,0,4.17
155,39,1,3,1,1,0,0,0,4.17
155,40,1,1,2,1,0,0,0,4.17
155,41,1,2,2,1,0,0,0,4.17
155,42,2,3,2,1,0,0,0,4.17
155,43,1,1,3,1,0,0,0,4.17
155,44,1,2,3,1,0,0,0,4.17
155,45,1,3,3,1,0,0,0,4.17
155,46,1,1,4,1,1,0,0,4.17
155,47,1,2,4,1,0,0,0,4.17
155,48,1,3,4,1,0,0,0,4.17
548,1,1,1,1,0,0,0,4.17,4.17
548,2,2,2,1,0,0,0,4.17,4.17
548,3,1,3,1,0,0,0,4.17,4.17
548,4,1,1,2,0,0,0,4.17,4.17
548,5,1,2,2,0,0,0,4.17,4.17
548,6,1,3,2,0,0,0,4.17,4.17
548,7,1,1,3,0,0,0,4.17,4.17
548,8,1,2,3,0,0,0,4.17,4.17
548,9,1,3,3,0,0,0,4.17,4.17
548,10,1,1,4,0,1,0,4.17,4.17
548,11,1,2,4,0,1,0,4.17,4.17
548,12,1,3,4,0,0,0,4.17,4.17
548,13,1,1,1,0,0,0,4.17,4.17
548,14,1,2,1,0,0,0,4.17,4.17
548,15,1,3,1,0,0,0,4.17,4.17
548,16,1,1,2,0,0,0,4.17,4.17
548,17,1,2,2,0,0,0,4.17,4.17
548,18,1,3,2,0,0,0,4.17,4.17
548,19,1,1,3,0,0,0,4.17,4.17
548,20,1,2,3,0,1,0,4.17,4.17
548,21,1,3,3,0,0,0,4.17,4.17
548,22,1,1,4,0,0,0,4.17,4.17
548,23,1,2,4,0,0,0,4.17,4.17
548,24,1,3,4,0,0,0,4.17,4.17
548,25,1,1,1,1,0,0,4.17,4.17
548,26,1,2,1,1,0,0,4.17,4.17
548,27,1,3,1,1,1,0,4.17,4.17
548,28,1,1,2,1,0,0,4.17,4.17
548,29,1,2,2,1,0,0,4.17,4.17
548,30,1,3,2,1,0,0,4.17,4.17
548,31,1,1,3,1,0,0,4.17,4.17
548,32,1,2,3,1,0,0,4.17,4.17
548,33,1,3,3,1,0,0,4.17,4.17
548,34,1,1,4,1,0,0,4.17,4.17
548,35,1,2,4,1,1,0,4.17,4.17
548,36,1,3,4,1,0,0,4.17,4.17
548,37,2,1,1,1,0,0,4.17,4.17
548,38,1,2,1,1,0,0,4.17,4.17
548,39,1,3,1,1,0,0,4.17,4.17
548,40,1,1,2,1,0,0,4.17,4.17
548,41,1,2,2,1,0,0,4.17,4.17
548,42,1,3,2,1,0,0,4.17,4.17
548,43,1,1,3,1,0,0,4.17,4.17
548,44,1,2,3,1,0,0,4.17,4.17
548,45,1,3,3,1,0,0,4.17,4.17
548,46,1,1,4,1,0,0,4.17,4.17
548,47,1,2,4,1,0,0,4.17,4.17
548,48,1,3,4,1,0,0,4.17,4.17
1126,1,2,1,1,0,0,0,12.5,25
1126,2,2,2,1,0,0,0,12.5,25
1126,3,1,3,1,0,0,0,12.5,25
1126,4,1,1,2,0,0,0,12.5,25
1126,5,1,2,2,0,0,0,12.5,25
1126,6,1,3,2,0,0,0,12.5,25
1126,7,2,1,3,0,0,0,12.5,25
1126,8,1,2,3,0,0,0,12.5,25
1126,9,1,3,3,0,0,0,12.5,25
1126,10,1,1,4,0,0,0,12.5,25
1126,11,1,2,4,0,0,0,12.5,25
1126,12,1,3,4,0,0,0,12.5,25
1126,13,1,1,1,0,0,0,12.5,25
1126,14,1,2,1,0,1,0,12.5,25
1126,15,1,3,1,0,0,0,12.5,25
1126,16,1,1,2,0,1,0,12.5,25
1126,17,1,2,2,0,0,0,12.5,25
1126,18,1,3,2,0,0,0,12.5,25
1126,19,1,1,3,0,0,0,12.5,25
1126,20,1,2,3,0,1,0,12.5,25
1126,21,1,3,3,0,1,0,12.5,25
1126,22,1,1,4,0,1,0,12.5,25
1126,23,1,2,4,0,0,0,12.5,25
1126,24,1,3,4,0,1,0,12.5,25
1126,25,1,1,1,1,0,0,12.5,25
1126,26,2,2,1,1,0,0,12.5,25
1126,27,1,3,1,1,0,0,12.5,25
1126,28,2,1,2,1,0,0,12.5,25
1126,29,1,2,2,1,0,0,12.5,25
1126,30,0,3,2,1,0,0,12.5,25
1126,31,1,1,3,1,0,0,12.5,25
1126,32,2,2,3,1,0,0,12.5,25
1126,33,2,3,3,1,0,0,12.5,25
1126,34,2,1,4,1,0,0,12.5,25
1126,35,1,2,4,1,0,0,12.5,25
1126,36,2,3,4,1,0,0,12.5,25
1126,37,1,1,1,1,0,0,12.5,25
1126,38,1,2,1,1,0,0,12.5,25
1126,39,1,3,1,1,0,0,12.5,25
1126,40,1,1,2,1,0,0,12.5,25
1126,41,1,2,2,1,0,0,12.5,25
1126,42,1,3,2,1,0,0,12.5,25
1126,43,1,1,3,1,0,0,12.5,25
1126,44,1,2,3,1,0,0,12.5,25
1126,45,1,3,3,1,0,0,12.5,25
1126,46,1,1,4,1,0,0,12.5,25
1126,47,1,2,4,1,0,0,12.5,25
1126,48,1,3,4,1,0,0,12.5,25
1363,1,0,1,1,0,0,0,0,16.67
1363,2,1,2,1,0,0,0,0,16.67
1363,3,1,3,1,0,0,0,0,16.67
1363,4,1,1,2,0,0,0,0,16.67
1363,5,1,2,2,0,0,0,0,16.67
1363,6,1,3,2,0,0,0,0,16.67
1363,7,0,1,3,0,0,0,0,16.67
1363,8,1,2,3,0,0,0,0,16.67
1363,9,0,3,3,0,0,0,0,16.67
1363,10,1,1,4,0,0,0,0,16.67
1363,11,0,2,4,0,0,0,0,16.67
1363,12,1,3,4,0,0,0,0,16.67
1363,13,1,1,1,0,0,0,0,16.67
1363,14,1,2,1,0,0,0,0,16.67
1363,15,0,3,1,0,0,0,0,16.67
1363,16,1,1,2,0,0,0,0,16.67
1363,17,0,2,2,0,0,0,0,16.67
