sub,trial,decision,reward,effort,agent,success,grupo,zeros_SELF,zeros_OTHER
332,1,1,1,1,0,0,1,0,12.5
332,2,1,2,1,0,0,1,0,12.5
332,3,1,3,1,0,0,1,0,12.5
332,4,1,1,2,0,0,1,0,12.5
332,5,1,2,2,0,0,1,0,12.5
332,6,1,3,2,0,0,1,0,12.5
332,7,1,1,3,0,0,1,0,12.5
332,8,1,2,3,0,0,1,0,12.5
332,9,1,3,3,0,0,1,0,12.5
332,10,1,1,4,0,0,1,0,12.5
332,11,1,2,4,0,0,1,0,12.5
332,12,1,3,4,0,0,1,0,12.5
332,13,1,1,1,0,0,1,0,12.5
332,14,1,2,1,0,0,1,0,12.5
332,15,1,3,1,0,0,1,0,12.5
332,16,1,1,2,0,0,1,0,12.5
332,17,1,2,2,0,0,1,0,12.5
332,18,1,3,2,0,0,1,0,12.5
332,19,1,1,3,0,0,1,0,12.5
332,20,1,2,3,0,0,1,0,12.5
332,21,1,3,3,0,1,1,0,12.5
332,22,1,1,4,0,0,1,0,12.5
332,23,1,2,4,0,0,1,0,12.5
332,24,1,3,4,0,0,1,0,12.5
332,25,1,1,1,1,0,1,0,12.5
332,26,1,2,1,1,0,1,0,12.5
332,27,1,3,1,1,0,1,0,12.5
332,28,1,1,2,1,0,1,0,12.5
332,29,1,2,2,1,0,1,0,12.5
332,30,1,3,2,1,0,1,0,12.5
332,31,0,1,3,1,0,1,0,12.5
332,32,1,2,3,1,0,1,0,12.5
332,33,2,3,3,1,0,1,0,12.5
332,34,1,1,4,1,0,1,0,12.5
332,35,1,2,4,1,1,1,0,12.5
332,36,1,3,4,1,0,1,0,12.5
332,37,1,1,1,1,0,1,0,12.5
332,38,0,2,1,1,0,1,0,12.5
332,39,0,3,1,1,0,1,0,12.5
332,40,0,1,2,1,0,1,0,12.5
332,41,2,2,2,1,0,1,0,12.5
332,42,1,3,2,1,0,1,0,12.5
332,43,0,1,3,1,0,1,0,12.5
332,44,0,2,3,1,0,1,0,12.5
332,45,1,3,3,1,0,1,0,12.5
332,46,1,1,4,1,1,1,0,12.5
332,47,1,2,4,1,0,1,0,12.5
332,48,2,3,4,1,0,1,0,12.5
849,1,1,1,1,0,0,1,12.5,4.17
849,2,1,2,1,0,0,1,12.5,4.17
849,3,1,3,1,0,0,1,12.5,4.17
849,4,1,1,2,0,0,1,12.5,4.17
849,5,1,2,2,0,0,1,12.5,4.17
849,6,1,3,2,0,0,1,12.5,4.17
849,7,1,1,3,0,0,1,12.5,4.17
849,8,1,2,3,0,0,1,12.5,4.17
849,9,1,3,3,0,0,1,12.5,4.17
849,10,2,1,4,0,0,1,12.5,4.17
849,11,2,2,4,0,0,1,12.5,4.17
849,12,1,3,4,0,0,1,12.5,4.17
849,13,1,1,1,0,0,1,12.5,4.17
849,14,1,2,1,0,0,1,12.5,4.17
849,15,1,3,1,0,0,1,12.5,4.17
849,16,1,1,2,0,0,1,12.5,4.17
849,17,1,2,2,0,1,1,12.5,4.17
849,18,1,3,2,0,0,1,12.5,4.17
849,19,1,1,3,0,0,1,12.5,4.17
849,20,2,2,3,0,0,1,12.5,4.17
849,21,1,3,3,0,0,1,12.5,4.17
849,22,1,1,4,0,0,1,12.5,4.17
849,23,1,2,4,0,0,1,12.5,4.17
849,24,1,3,4,0,0,1,12.5,4.17
849,25,1,1,1,1,0,1,12.5,4.17
849,26,1,2,1,1,0,1,12.5,4.17
849,27,1,3,1,1,0,1,12.5,4.17
849,28,1,1,2,1,0,1,12.5,4.17
849,29,2,2,2,1,0,1,12.5,4.17
849,30,1,3,2,1,0,1,12.5,4.17
849,31,1,1,3,1,0,1,12.5,4.17
849,32,1,2,3,1,1,1,12.5,4.17
849,33,1,3,3,1,0,1,12.5,4.17
849,34,1,1,4,1,0,1,12.5,4.17
849,35,1,2,4,1,0,1,12.5,4.17
849,36,1,3,4,1,0,1,12.5,4.17
849,37,1,1,1,1,0,1,12.5,4.17
849,38,1,2,1,1,0,1,12.5,4.17
849,39,1,3,1,1,0,1,12.5,4.17
849,40,1,1,2,1,0,1,12.5,4.17
849,41,1,2,2,1,0,1,12.5,4.17
849,42,1,3,2,1,0,1,12.5,4.17
849,43,1,1,3,1,0,1,12.5,4.17
849,44,1,2,3,1,0,1,12.5,4.17
849,45,1,3,3,1,0,1,12.5,4.17
849,46,1,1,4,1,0,1,12.5,4.17
849,47,1,2,4,1,0,1,12.5,4.17
849,48,1,3,4,1,0,1,12.5,4.17
893,1,1,1,1,0,0,1,0,0
893,2,1,2,1,0,0,1,0,0
893,3,1,3,1,0,0,1,0,0
893,4,1,1,2,0,0,1,0,0
893,5,1,2,2,0,0,1,0,0
893,6,1,3,2,0,0,1,0,0
893,7,1,1,3,0,0,1,0,0
893,8,1,2,3,0,0,1,0,0
893,9,1,3,3,0,0,1,0,0
893,10,1,1,4,0,0,1,0,0
893,11,1,2,4,0,0,1,0,0
893,12,1,3,4,0,0,1,0,0
893,13,1,1,1,0,0,1,0,0
893,14,1,2,1,0,0,1,0,0
893,15,1,3,1,0,0,1,0,0
893,16,1,1,2,0,0,1,0,0
893,17,1,2,2,0,0,1,0,0
893,18,1,3,2,0,0,1,0,0
893,19,1,1,3,0,0,1,0,0
893,20,1,2,3,0,0,1,0,0
893,21,1,3,3,0,0,1,0,0
893,22,1,1,4,0,0,1,0,0
893,23,1,2,4,0,0,1,0,0
893,24,1,3,4,0,0,1,0,0
893,25,1,1,1,1,0,1,0,0
893,26,1,2,1,1,0,1,0,0
893,27,1,3,1,1,0,1,0,0
893,28,1,1,2,1,0,1,0,0
893,29,1,2,2,1,0,1,0,0
893,30,1,3,2,1,0,1,0,0
893,31,1,1,3,1,0,1,0,0
893,32,1,2,3,1,0,1,0,0
893,33,1,3,3,1,0,1,0,0
893,34,1,1,4,1,0,1,0,0
893,35,1,2,4,1,0,1,0,0
893,36,1,3,4,1,0,1,0,0
893,37,1,1,1,1,0,1,0,0
893,38,1,2,1,1,0,1,0,0
893,39,1,3,1,1,0,1,0,0
893,40,1,1,2,1,0,1,0,0
893,41,1,2,2,1,0,1,0,0
893,42,1,3,2,1,0,1,0,0
893,43,1,1,3,1,0,1,0,0
893,44,1,2,3,1,0,1,0,0
893,45,1,3,3,1,0,1,0,0
893,46,1,1,4,1,0,1,0,0
893,47,1,2,4,1,0,1,0,0
893,48,1,3,4,1,0,1,0,0
974,1,1,1,1,0,0,1,20.83,8.33
974,2,0,2,1,0,0,1,20.83,8.33
974,3,1,3,1,0,0,1,20.83,8.33
974,4,1,1,2,0,0,1,20.83,8.33
974,5,1,2,2,0,0,1,20.83,8.33
974,6,1,3,2,0,0,1,20.83,8.33
974,7,0,1,3,0,0,1,20.83,8.33
974,8,2,2,3,0,0,1,20.83,8.33
974,9,2,3,3,0,0,1,20.83,8.33
974,10,0,1,4,0,0,1,20.83,8.33
974,11,1,2,4,0,1,1,20.83,8.33
974,12,2,3,4,0,0,1,20.83,8.33
974,13,1,1,1,0,0,1,20.83,8.33
974,14,1,2,1,0,1,1,20.83,8.33
974,15,1,3,1,0,0,1,20.83,8.33
974,16,0,1,2,0,0,1,20.83,8.33
974,17,1,2,2,0,0,1,20.83,8.33
974,18,1,3,2,0,1,1,20.83,8.33
974,19,2,1,3,0,0,1,20.83,8.33
974,20,1,2,3,0,0,1,20.83,8.33
974,21,1,3,3,0,0,1,20.83,8.33
974,22,0,1,4,0,0,1,20.83,8.33
974,23,0,2,4,0,0,1,20.83,8.33
974,24,2,3,4,0,0,1,20.83,8.33
