model,sum_AIC,sum_BIC
parabolic_1K1B,2615.47979754776,2854.99352694397
parabolic_1K2B,3699.28664276714,4058.55723686146
parabolic_2K1B,2781.4946934282,3140.76528752252
parabolic_2K2B,3827.28680941805,4306.31426821047
linear_1K1B,2632.10545291885,2871.61918231506
linear_1K2B,3704.20486804099,4063.4754621353
linear_2K1B,2785.59067042307,3144.86126451738
linear_2K2B,3832.20513002182,4311.23258881424
hyperbolic_1K1B,2626.65644473158,2866.17017412779
hyperbolic_1K2B,3702.94822581438,4062.21881990869
hyperbolic_2K1B,2785.60385846076,3144.87445255508
hyperbolic_2K2B,3830.94805864564,4309.97551743806
