model,sum_AIC,sum_BIC
parabolic_1K1B,3564.7022633167,3879.06403314922
parabolic_1K2B,4720.92242222221,5192.46507697099
parabolic_2K1B,3560.40719394581,4031.9498486946
parabolic_2K2B,4888.93248057746,5517.65602024252
linear_1K1B,3579.9549155043,3894.31668533682
linear_1K2B,4733.02252085174,5204.56517560053
linear_2K1B,3545.35114969724,4016.89380444603
linear_2K2B,4901.02467981804,5529.74821948309
hyperbolic_1K1B,3586.28223880905,3900.64400864157
hyperbolic_1K2B,4740.28048278579,5211.82313753458
hyperbolic_2K1B,3490.21200041484,3961.75465516363
hyperbolic_2K2B,4908.29088814717,5537.01442781223
